,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
0,Afghanistan,1979652,773002.0,5.09,1.99,441371.0,1.13,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
1,Albania,1458048,824170.0,50.67,28.64,633878.0,22.03,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0
2,Algeria,4146091,3421279.0,9.46,7.8,724812.0,1.65,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",3.0
3,American Samoa,54425,29993.0,98.6,54.34,24977.0,45.25,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
4,Andorra,91660,51044.0,118.63,66.06,40616.0,52.57,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",2.0
5,Angola,2086325,1165755.0,6.35,3.55,920570.0,2.8,SII - Covishield,1.0
6,Anguilla,18458,9493.0,123.04,63.28,8965.0,59.76,AstraZeneca - Vaxzevria,1.0
7,Antigua and Barbuda,72902,39808.0,74.44,40.65,33094.0,33.79,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
8,Argentina,40961189,27606176.0,90.63,61.08,13355013.0,29.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",5.0
9,Armenia,275138,176552.0,9.29,5.96,98586.0,3.33,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",3.0
10,Aruba,147211,78245.0,137.88,73.29,68966.0,64.6,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2.0
11,Australia,19362666,12106618.0,75.93,47.48,7222529.0,28.32,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",3.0
12,Austria,10456753,5506238.0,117.48,61.86,5206024.0,58.49,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
13,Azerbaijan,6805740,4113716.0,67.12,40.57,2692024.0,26.55,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",3.0
14,Bahamas,129017,76174.0,32.81,19.37,52843.0,13.44,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0
15,Bahrain,2489109,1146939.0,146.28,67.41,1088446.0,63.97,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0
16,Bangladesh,26535211,18489742.0,16.11,11.23,8045469.0,4.89,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
17,Barbados,198370,105664.0,69.03,36.77,92706.0,32.26,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
18,Belarus,2833242,1561907.0,29.98,16.53,1271335.0,13.45,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",2.0
19,Belgium,16197854,8423281.0,140.58,73.1,8131124.0,70.57,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
20,Belize,225615,158764.0,56.74,39.93,66851.0,16.81,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
21,Benin,152699,56951.0,1.26,0.47,95748.0,0.79,"SII - Covishield,Sinovac - CoronaVac",2.0
22,Bermuda,84748,42826.0,136.09,68.77,41922.0,67.32,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
23,Bhutan,1045074,567143.0,135.44,73.5,477931.0,61.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
24,Bolivia (Plurinational State of),5674777,3769324.0,48.61,32.29,2522944.0,21.61,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
26,"Bonaire, Sint Eustatius and Saba",7391,5726.0,28.44,22.03,2965.0,11.41,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2.0
27,Bosnia and Herzegovina,928126,567198.0,28.29,17.29,360928.0,11.0,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",4.0
28,Botswana,379684,379526.0,16.15,16.14,318272.0,13.53,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4.0
29,Brazil,177094781,126221786.0,83.32,59.38,55281985.0,26.01,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
30,British Virgin Islands,29828,17095.0,98.65,56.54,12733.0,42.11,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",2.0
31,Brunei Darussalam,294387,210479.0,67.29,48.11,83908.0,19.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",5.0
33,Burkina Faso,108799,108799.0,0.52,0.52,13273.0,0.06,SII - Covishield,1.0
34,Cabo Verde,309001,236158.0,55.58,42.48,72843.0,13.1,"Pfizer BioNTech - Comirnaty,SII - Covishield",2.0
35,Cambodia,18337332,10308435.0,109.68,61.66,8275430.0,49.5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",5.0
36,Cameroon,428255,349385.0,1.61,1.32,78870.0,0.3,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
37,Canada,52933914,27785566.0,140.25,73.62,25148348.0,66.63,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0
38,Cayman Islands,100362,51175.0,152.71,77.87,49187.0,74.84,Pfizer BioNTech - Comirnaty,1.0
39,Central African Republic,108895,77771.0,2.26,1.61,26000.0,0.54,"Bharat - Covaxin,SII - Covishield",2.0
40,Chad,55598,40329.0,0.34,0.25,15269.0,0.09,Beijing CNBG - BBIBP-CorV,1.0
41,Chile,26987084,13654465.0,141.17,71.43,12817333.0,67.05,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
43,Colombia,34247170,22531555.0,67.31,44.28,14448771.0,28.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
44,Comoros,277419,175038.0,31.9,20.13,102389.0,11.77,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
45,Congo,179746,81514.0,3.26,1.48,98232.0,1.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",4.0
46,Cook Islands,21761,11416.0,123.9,65.0,10345.0,58.9,Pfizer BioNTech - Comirnaty,1.0
47,Costa Rica,4033022,3029514.0,79.17,59.47,1003508.0,19.7,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
48,Côte d’Ivoire,1307791,1058874.0,4.96,4.01,248917.0,0.94,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",3.0
49,Croatia,3264851,1723136.0,80.45,42.46,1611262.0,39.7,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
50,Cuba,12958755,5288125.0,114.41,46.69,4498744.0,39.72,"Abdala, Soberana02",2.0
51,Curaçao,181272,95525.0,110.47,58.21,85747.0,52.26,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
52,Cyprus,1094400,573924.0,123.24,64.63,520476.0,58.61,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
53,Czechia,11476040,5946048.0,107.31,55.6,5730483.0,53.59,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
