COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,8/30/2021,1979652,773002,5.09,1.99,441371,1.13,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,4
Albania,ALB,EURO,OWID,8/30/2021,1458048,824170,50.67,28.64,633878,22.03,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Algeria,DZA,AFRO,REPORTING,8/23/2021,4146091,3421279,9.46,7.80,724812,1.65,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/30/2021,3
American Samoa,ASM,WPRO,REPORTING,8/20/2021,54425,29993,98.60,54.34,24977,45.25,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/2020,3
Andorra,AND,EURO,OWID,8/15/2021,91660,51044,118.63,66.06,40616,52.57,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Angola,AGO,AFRO,REPORTING,9/1/2021,2086325,1165755,6.35,3.55,920570,2.80,SII - Covishield,3/10/2021,1
Anguilla,AIA,AMRO,REPORTING,8/27/2021,18458,9493,123.04,63.28,8965,59.76,AstraZeneca - Vaxzevria,2/5/2021,1
Antigua and Barbuda,ATG,AMRO,REPORTING,8/27/2021,72902,39808,74.44,40.65,33094,33.79,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2/19/2021,5
Argentina,ARG,AMRO,REPORTING,8/27/2021,40961189,27606176,90.63,61.08,13355013,29.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",12/29/2020,5
Armenia,ARM,EURO,OWID,8/29/2021,275138,176552,9.29,5.96,98586,3.33,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Aruba,ABW,AMRO,REPORTING,8/27/2021,147211,78245,137.88,73.29,68966,64.60,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/2021,2
Australia,AUS,WPRO,REPORTING,8/30/2021,19362666,12106618,75.93,47.48,7222529,28.32,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/2021,3
Austria,AUT,EURO,OWID,8/31/2021,10456753,5506238,117.48,61.86,5206024,58.49,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Azerbaijan,AZE,EURO,OWID,8/31/2021,6805740,4113716,67.12,40.57,2692024,26.55,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Bahamas,BHS,AMRO,REPORTING,8/27/2021,129017,76174,32.81,19.37,52843,13.44,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,3
Bahrain,BHR,EMRO,REPORTING,8/31/2021,2489109,1146939,146.28,67.41,1088446,63.97,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/2020,7
Bangladesh,BGD,SEARO,REPORTING,8/31/2021,26535211,18489742,16.11,11.23,8045469,4.89,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8
Barbados,BRB,AMRO,REPORTING,8/27/2021,198370,105664,69.03,36.77,92706,32.26,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/10/2021,4
Belarus,BLR,EURO,OWID,8/22/2021,2833242,1561907,29.98,16.53,1271335,13.45,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2
Belgium,BEL,EURO,OWID,8/31/2021,16197854,8423281,140.58,73.10,8131124,70.57,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Belize,BLZ,AMRO,REPORTING,8/27/2021,225615,158764,56.74,39.93,66851,16.81,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,4
Benin,BEN,AFRO,REPORTING,9/1/2021,152699,56951,1.26,0.47,95748,0.79,"SII - Covishield,Sinovac - CoronaVac",3/29/2021,2
Bermuda,BMU,AMRO,REPORTING,8/27/2021,84748,42826,136.09,68.77,41922,67.32,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2
Bhutan,BTN,SEARO,REPORTING,8/30/2021,1045074,567143,135.44,73.50,477931,61.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,8/27/2021,5674777,3769324,48.61,32.29,2522944,21.61,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,5
Bonaire,XAA,AMRO,REPORTING,8/27/2021,28978,15473,138.55,73.98,13505,64.57,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,4/9/2021,7391,5726,28.44,22.03,2965,11.41,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/2021,2
Bosnia and Herzegovina,BIH,EURO,OWID,8/18/2021,928126,567198,28.29,17.29,360928,11.00,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,9/1/2021,379684,379526,16.15,16.14,318272,13.53,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,4
Brazil,BRA,AMRO,REPORTING,8/27/2021,177094781,126221786,83.32,59.38,55281985,26.01,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5
British Virgin Islands,VGB,AMRO,REPORTING,8/27/2021,29828,17095,98.65,56.54,12733,42.11,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5",2/11/2021,2
Brunei Darussalam,BRN,WPRO,REPORTING,8/27/2021,294387,210479,67.29,48.11,83908,19.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4/3/2021,5
Bulgaria,BGR,EURO,OWID,8/31/2021,2312605,,33.27,,1172184,16.86,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Burkina Faso,BFA,AFRO,REPORTING,8/31/2021,108799,108799,0.52,0.52,13273,0.06,SII - Covishield,6/2/2021,1
Cabo Verde,CPV,AFRO,REPORTING,8/31/2021,309001,236158,55.58,42.48,72843,13.10,"Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,2
Cambodia,KHM,WPRO,REPORTING,8/27/2021,18337332,10308435,109.68,61.66,8275430,49.50,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2/10/2021,5
Cameroon,CMR,AFRO,REPORTING,8/30/2021,428255,349385,1.61,1.32,78870,0.30,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/12/2021,2
Canada,CAN,AMRO,REPORTING,8/27/2021,52933914,27785566,140.25,73.62,25148348,66.63,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,3
Cayman Islands,CYM,AMRO,REPORTING,8/27/2021,100362,51175,152.71,77.87,49187,74.84,Pfizer BioNTech - Comirnaty,1/15/2021,1
Central African Republic,CAF,AFRO,REPORTING,8/25/2021,108895,77771,2.26,1.61,26000,0.54,"Bharat - Covaxin,SII - Covishield",3/19/2021,2
