,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
6,9.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Express,Express,Vim
17,13.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Firebase,Android,Android,Angular/Angular.js,Express,Vim
18,13.0,HTML/CSS,HTML/CSS,DynamoDB,MySQL,AWS,AWS,ASP.NET,Vue.js,Visual Studio
34,17.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
40,19.0,C#,HTML/CSS,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express,Vim
46,20.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
47,20.0,C#,C#,MariaDB,MariaDB,Docker,Docker,ASP.NET,ASP.NET,Visual Studio
48,20.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Windows,Windows,jQuery,jQuery,Visual Studio Code
55,22.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
56,22.0,C++,C++,MySQL,MySQL,Linux,Linux,Ruby on Rails,Ruby on Rails,Visual Studio
63,23.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Couchbase,Docker,Docker,React.js,Express,Visual Studio Code
79,25.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
84,26.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
85,26.0,C++,HTML/CSS,MySQL,MySQL,Docker,Docker,ASP.NET,ASP.NET,Sublime Text
107,38.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
111,39.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
112,39.0,JavaScript,F#,PostgreSQL,PostgreSQL,Docker,Linux,ASP.NET,ASP.NET,Sublime Text
117,43.0,C++,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio
125,44.0,Bash/Shell/PowerShell,C#,Oracle,Other(s):,Linux,Docker,Spring,Spring,IntelliJ
133,49.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
134,49.0,HTML/CSS,HTML/CSS,DynamoDB,DynamoDB,Arduino,Arduino,Django,Express,IntelliJ
135,49.0,Java,Java,Elasticsearch,Elasticsearch,AWS,AWS,Express,Spring,Notepad++
141,50.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Firebase,Arduino,AWS,Django,Express,Notepad++
142,50.0,C,JavaScript,Firebase,PostgreSQL,AWS,Docker,Express,Flask,Visual Studio Code
150,53.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
