Respondent,Gender,EdLevel,Age,Country,WorkLoc,CompTotal,ConvertedComp,WorkWeekHrs,CodeRevHrs
9,Man,Some college/university study without earning a degree,23.0,New Zealand,Office,138000.0,95179.0,32.0,12.0
13,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",28.0,United States,Home,90000.0,90000.0,40.0,5.0
17,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",29.0,Australia,Other,90000.0,65277.0,45.0,5.0
19,Man,Some college/university study without earning a degree,31.0,Brazil,Office,9500.0,31140.0,8.0,3.0
20,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",38.0,Lithuania,Office,3000.0,41244.0,140.0,1.0
23,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22.0,United States,Office,69000.0,69000.0,40.0,8.0
26,Man,Some college/university study without earning a degree,34.0,United States,Home,114000.0,114000.0,40.0,2.0
29,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",32.0,United States,Office,2000.0,100000.0,40.0,2.0
38,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",44.0,Czech Republic,Office,96000.0,51312.0,39.0,3.0
39,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",42.0,United States,Office,156000.0,156000.0,50.0,3.0
43,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,Spain,Home,18000.0,20623.0,40.0,8.0
44,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",43.0,Germany,Home,6400.0,87996.0,39.0,10.0
49,Man,Some college/university study without earning a degree,34.0,Serbia,Office,5000.0,60000.0,42.0,15.0
53,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18.0,United States,Office,47300.0,47300.0,42.0,1.0
56,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",33.0,China,Home,345000.0,51150.0,40.0,2.0
60,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",27.0,United States,Office,107000.0,107000.0,46.0,8.0
